iter	Passed	Remaining
0	1	1415
1	2	1220
2	3	1199
3	4	1140
4	5	1138
5	6	1124
6	7	1114
7	8	1105
8	9	1097
9	11	1121
10	12	1136
11	13	1125
12	14	1119
13	15	1115
14	16	1110
15	17	1103
16	18	1098
17	20	1092
18	21	1087
19	22	1083
20	23	1083
21	24	1080
22	25	1080
23	26	1090
24	27	1091
25	29	1088
26	30	1088
27	31	1087
28	32	1084
29	33	1081
30	34	1078
31	35	1073
32	36	1069
33	37	1068
34	38	1067
35	39	1063
36	41	1067
37	42	1080
38	43	1075
39	44	1070
40	46	1083
41	47	1079
42	48	1073
43	49	1070
44	50	1065
45	51	1060
46	52	1057
47	53	1052
48	54	1048
49	55	1045
50	56	1046
51	57	1044
52	58	1039
53	59	1040
54	60	1044
55	61	1042
56	62	1039
57	63	1037
58	65	1036
59	65	1033
60	66	1029
61	67	1025
62	68	1021
63	69	1021
64	71	1025
65	73	1041
66	74	1042
67	75	1040
68	76	1037
69	77	1034
70	78	1031
71	79	1028
72	80	1025
73	81	1022
74	82	1019
75	83	1017
76	84	1016
77	87	1038
78	89	1046
79	90	1043
80	91	1040
81	92	1039
82	93	1031
83	94	1028
84	95	1025
85	96	1023
86	97	1020
87	98	1017
88	99	1016
89	101	1022
90	102	1020
91	103	1017
92	104	1014
93	104	1011
94	105	1008
95	106	1007
96	107	1004
97	108	1001
98	109	998
99	110	995
100	111	992
101	112	990
102	113	988
103	115	991
104	116	995
105	117	993
106	118	991
107	119	991
108	121	989
109	121	986
110	122	983
111	123	981
112	124	978
113	125	976
114	126	974
115	127	972
116	129	974
117	130	975
118	131	972
119	132	970
120	133	968
121	134	966
122	135	964
123	136	961
124	137	959
125	138	957
126	138	954
127	139	953
128	140	951
129	141	950
130	142	948
131	144	947
132	145	948
133	146	947
134	147	946
135	148	944
136	149	942
137	150	940
138	151	938
139	152	936
140	153	935
141	154	931
142	155	929
143	156	927
144	156	925
145	158	925
146	159	926
147	160	926
148	162	926
149	163	925
150	164	923
151	165	922
152	166	920
153	167	920
154	168	919
155	169	917
156	170	915
157	171	913
158	172	911
159	173	910
160	174	909
161	175	909
162	178	914
163	179	913
164	180	912
165	181	910
166	182	909
167	183	909
168	184	908
169	185	906
170	186	905
171	188	905
172	189	907
173	191	907
174	192	909
175	193	907
176	194	906
177	195	904
178	196	903
179	198	902
180	199	901
181	200	900
182	201	898
183	202	897
184	204	899
185	205	899
186	207	902
187	209	903
188	210	901
189	211	899
190	212	898
191	213	897
192	214	896
193	215	895
194	216	893
195	217	892
196	219	895
197	220	894
198	223	898
199	224	897
200	225	895
201	226	893
202	227	892
203	228	892
204	229	890
205	230	889
206	231	888
207	233	889
208	234	888
209	236	891
210	238	892
211	239	890
212	240	889
213	241	887
214	242	886
215	244	887
216	245	886
217	248	892
218	250	892
219	251	892
220	254	896
221	255	895
222	256	894
223	257	893
224	259	893
225	260	892
226	261	890
227	263	891
228	264	889
229	265	889
230	266	888
231	268	889
232	269	888
233	271	887
234	272	885
235	273	884
236	274	882
237	275	881
238	277	883
239	279	884
240	280	883
241	281	881
242	282	880
243	283	878
244	284	876
245	285	875
246	286	873
247	287	871
248	288	869
249	289	868
250	290	867
251	292	868
252	293	867
253	296	870
254	297	869
255	299	870
256	301	870
257	302	869
258	303	868
259	305	870
260	307	871
261	310	874
262	311	873
263	313	872
264	314	870
265	315	869
266	316	868
267	317	866
268	318	864
269	318	862
270	320	861
271	322	862
272	323	862
273	325	862
274	327	863
275	328	862
276	329	860
277	330	859
278	331	857
279	332	855
280	333	853
281	334	852
282	336	853
283	338	852
284	339	851
285	341	853
286	342	851
287	343	849
288	344	847
